"","书名","作者","出版社","出版日期","评分"
"91","海底两万里","[法国] 儒尔·凡尔纳 "," 译林出版社 "," 2002-9 ","8.4"
"92","刀锋","[英]毛姆 "," 上海译文出版社 "," 2007-3 ","9.0"
"93","孤独六讲","蒋勋 "," 广西师范大学出版社 "," 2009-10-1 ","8.1"
"94","步步惊心","桐华 "," 民族出版社 "," 2006-6 ","8.1"
"95","月亮忘記了","幾米 "," 格林 "," 2000-2-1 ","8.6"
"96","此间的少年","江南 "," 华文出版社 "," 2004-1 ","8.4"
"97","菊与刀","（美）鲁思<U+30FB>本尼迪克特 "," 商务印书馆 "," 1990-6 ","8.2"
"98","你今天真好看","[美]莉兹<U+2022>克里莫 ","天津人民出版社 "," 2015-8 ","8.7"
"99","查令十字街84号","[美] 海莲·汉芙 "," 译林出版社 "," 2005-05-01 ","8.3"
"100","尘埃落定","阿来 "," 人民文学出版社 "," 1998-3-1 ","8.4"
"101","流浪地球","刘慈欣 "," 湖北长江出版集团，长江文艺出版社 "," 2008-11 ","8.6"
"102","球状闪电","刘慈欣 "," 四川科学技术出版社 "," 2005-6 ","8.7"
"103","那些回不去的年少时光","桐华 "," 江苏文艺出版社 "," 2010-01 ","8.4"
"104","荆棘鸟","[澳] 考琳·麦卡洛 "," 译林出版社 "," 1998-7 ","8.6"
"105","金锁记","张爱玲 "," 哈尔滨出版社 "," 2005-6 ","8.5"
"106","哭泣的骆驼","三毛 "," 哈尔滨出版社 "," 2003-6 ","8.9"
"107","悲惨世界（上中下）","[法] 雨果 "," 人民文学出版社 "," 1992-6 ","8.9"
"108","一個人住第5年","高木直子 "," 大田 "," 2004-12-1 ","8.4"
"109","富爸爸，穷爸爸","（美）罗伯特<U+30FB>T<U+30FB>清崎 "," 世界图书出版公司 "," 2000-09 ","8.2"
"110","寻路中国","[美] 彼得·海斯勒 "," 上海译文出版社 "," 2011-1 ","9.0"
"111","常识","梁文道 "," 广西师范大学出版社 "," 2009-1 ","8.1"
"112","雷雨","曹禺 "," 人民文学出版社 "," 1999-05 ","8.6"
"113","史蒂夫·乔布斯传","[美] 沃尔特·艾萨克森 "," 中信出版社 "," 2011-10-24 ","8.7"
"114","飞鸟集","[印] 罗宾德拉纳德·泰戈尔 "," 哈尔滨出版社 "," 2004-6 ","8.9"
"115","水浒传（全二册）","[明] 施耐庵 "," 人民文学出版社 "," 1997-1 ","8.6"
"116","海贼王","尾田荣一郎 "," 浙江人民美术出版社 "," 2007-11 ","9.5"
"117","鹿鼎记（全五册）","金庸 "," 广州出版社 花城出版社 "," 2008-3 ","8.8"
"118","你好，旧时光（上 下）","八月长安 "," 新世界出版社 "," 2009-12 ","8.8"
"119","倚天屠龙记(共四册)","金庸 "," 三联书店 "," 1999-04 ","8.6"
"120","西游记（全二册）","吴承恩 "," 人民文学出版社 "," 2004-8 ","8.8"
"121","时间旅行者的妻子","[美] 奥德丽·尼芬格 "," 人民文学出版社 "," 2007-4 ","8.1"
"122","狂人日记","鲁迅 "," 京华出版社 "," 2006-3 ","8.7"
"123","长恨歌","王安忆 "," 南海出版公司 "," 2003-8 ","8.2"
"124","东霓","笛安 "," 长江文艺出版社 "," 2010-7-1 ","8.1"
"125","最好的我们","八月长安 "," 湖南文艺出版社 "," 2013-8-5 ","8.8"
"126","失恋33天","鲍鲸鲸 "," 中信出版社 "," 2010-1 ","8.1"
"127","你一定爱读的极简欧洲史","约翰·赫斯特（John Hirst） "," 广西师范大学出版社 "," 2011-11-25 ","8.2"
"128","伊豆的舞女","[日] 川端康成 "," 广西师范大学出版社 "," 2002-2 ","8.2"
"129","时间简史","[英] 史蒂芬·霍金 "," 湖南科学技术出版社 "," 2010-4 ","8.8"
"130","瓦尔登湖","[美] 梭罗 "," 上海译文出版社 "," 2006-8 ","8.4"
"131","我与地坛","史铁生 "," 春风文艺出版社 "," 2002-5 ","9.0"
"132","呼兰河传","萧红 "," 百花文艺出版社 "," 2005-01 ","8.9"
"133","历史深处的忧虑","林达 "," 生活·读书·新知三联书店 "," 1997-5 ","9.0"
"134","红与黑","[法] 司汤达 "," 人民文学出版社 "," 2002 ","8.2"
"135","中国历代政治得失","钱穆 "," 生活·读书·新知三联书店 "," 2001 ","9.1"
"136","夏洛的网","[美] E.B.怀特 "," 上海译文出版社 "," 2004-5 ","8.6"
"137","陆犯焉识","严歌苓 "," 作家出版社 "," 2011-10 ","8.8"
"138","一九八四·动物农场","[英] 乔治·奥威尔 "," 上海译文出版社 "," 2003-4 ","9.3"
"139","大地之灯","七堇年 "," 长江文艺出版社 "," 2007-1 ","8.2"
"140","我的天才女友","[意] 埃莱娜·费兰特 "," 人民文学出版社 "," 2017-1 ","8.5"
"141","影响力","[美] 罗伯特·西奥迪尼 "," 中国人民大学出版社 "," 2006-5 ","8.6"
"142","匆匆那年（上下）","九夜茴 "," 东方出版社 "," 2008-1 ","8.3"
"143","橙","安东尼 "," 长江文艺出版社 "," 2010-10 ","8.2"
"144","香水","[德] 帕·聚斯金德 "," 上海译文出版社 "," 2005-5 ","8.5"
"145","世界尽头与冷酷仙境","[日] 村上春树 "," 上海译文出版社 "," 2002-12 ","8.6"
"146","自控力","[美]  凯利·麦格尼格尔 "," 文化发展出版社(原印刷工业出版社) "," 2012-8 ","8.3"
"147","人生","路遥 "," 北京十月文艺出版社 "," 2009-5 ","8.4"
"148","看不见的城市","[意大利]伊塔洛·卡尔维诺 "," 译林出版社 "," 2006-8 ","8.8"
"149","冰与火之歌（卷一）","[美] 乔治·R. R. 马丁 "," 重庆出版社 "," 2005-5 ","9.3"
"150","那些年，我们一起追的女孩","九把刀 "," 花山文艺出版社 "," 2007-1 ","8.2"
"151","江城","[美] 彼得·海斯勒 "," 上海译文出版社 "," 2012-1 ","9.0"
"152","变形记","[奥] 卡夫卡 "," 浙江文艺出版社 "," 2003-4 ","8.4"
"153","把时间当作朋友","李笑来 "," 电子工业出版社 "," 2009-6 ","8.4"
"154","阿狸·梦之城堡","hans "," 上海锦绣文章出版社 "," 2009-1 ","9.0"
"155","天使与魔鬼","[美] 丹.布朗 "," 人民文学出版社 "," 2005-2 ","8.1"
"156","七夜雪","沧月 "," 北京十月文艺出版社 "," 2006-10 ","8.4"
"157","人性的弱点全集","[美] 戴尔·卡耐基 "," 中国发展出版社 "," 2008-1 ","8.2"
"158","ZOO","[日] 乙一 "," 当代世界出版社 "," 2007-10 ","8.6"
"159","往事并不如烟","章诒和 "," 人民文学出版社 "," 2004-1 ","8.6"
"160","国境以南 太阳以西","[日] 村上春树 "," 上海译文出版社 "," 2001-8 ","8.3"
"161","未来简史","[以色列] 尤瓦尔·赫拉利 "," 中信出版集团 "," 2017-2 ","8.4"
"162","蔷薇岛屿","安妮宝贝 "," 作家出版社 "," 2002-8 ","8.0"
"163","项链","[法] 莫泊桑 "," 河北教育出版社 "," 2005-2 ","8.3"
"164","一句顶一万句","刘震云 "," 长江文艺出版社 "," 2009-3 ","8.7"
"165","罗生门","[日]芥川龙之介 "," 上海译文出版社 "," 2008-7 ","8.7"
"166","京华烟云","林语堂 "," 陕西师范大学出版社 "," 2005-7 ","8.5"
"167","没有色彩的多崎作和他的巡礼之年","[日] 村上春树 "," 南海出版公司 "," 2013-10-1 ","8.2"
"168","文学回忆录（全2册）","木心 讲述 "," 广西师范大学出版社 "," 2013-1-10 ","9.2"
"169","父与子全集","[德] 埃·奥·卜劳恩 绘 "," 中国工人出版社 "," 2003-4 ","9.2"
"170","最初的爱情 最后的仪式","[英] 伊恩·麦克尤恩 "," 南京大学出版社 "," 2010-2 ","8.0"
"171","一千零一夜","纳训 "," 人民文学出版社 "," 2003-01 ","8.6"
"172","尼罗河上的惨案","[英] 阿加莎·克里斯蒂 "," 人民文学出版社 "," 2006-5 ","8.7"
"173","人间词话","王国维 "," 上海古籍出版社 "," 1998-12-01 ","9.0"
"174","生活在别处","[捷克] 米兰·昆德拉 "," 上海译文出版社 "," 2004-5 ","8.4"
"175","激荡三十年（上）","吴晓波 "," 中信出版社 浙江人民出版社 "," 2007-1 ","8.8"
"176","设计中的设计","[日] 原研哉 "," 山东人民出版社 "," 2006-11 ","8.6"
"177","心是孤独的猎手","[美] 卡森·麦卡勒斯 "," 上海三联书店 "," 2005-8 ","8.5"
"178","面纱","(英)W.萨默塞特·毛姆 "," 重庆 "," 2012-05-01 ","8.7"
"179","雨季不再来","三毛 "," 北京十月文艺出版社 "," 2007-7 ","8.7"
"180","新名字的故事","[意] 埃莱娜·费兰特 "," 人民文学出版社 "," 2017-4 ","9.0"
"181","佛祖在一号线","李海鹏 "," 文化艺术出版社 "," 2010-6 ","8.2"
"182","我执","梁文道 "," 广西师范大学出版社 "," 2010-10 ","8.0"
"183","我的精神家园","王小波 "," 文化艺术出版社 "," 1997 ","9.1"
"184","第一炉香","张爱玲 "," 花城出版社 "," 1997-3 ","8.4"
"185","妻妾成群","苏童 "," 上海文艺出版社 "," 2004-8 ","8.2"
"186","海子的诗","海子 "," 人民文学出版社 "," 1999-04 ","8.9"
"187","芳华","严歌苓 "," 人民文学出版社 "," 2017-4-1 ","8.1"
"188","九州·缥缈录","江南 "," 新世界出版社 "," 2005-6 ","8.8"
"189","野火集","龙应台 "," 文汇出版社 "," 2005-8 ","8.8"
"190","偷书贼","[澳] 马克斯·苏萨克 "," 南海出版公司 "," 2007-8 ","8.0"
"191","娱乐至死","[美] 尼尔·波兹曼 "," 广西师范大学出版社 "," 2011-6 ","8.6"
"192","教父","[美]马里奥·普佐 "," 译林出版社 "," 1997-8 ","9.0"
"193","万水千山走遍","三毛 "," 哈尔滨出版社 "," 2003-08 ","8.8"
